post_index,comment_imbalance,participation_rate_A,participation_rate_B,participation_gap,mean_confidence_A,mean_confidence_B,mean_willingness_A,mean_willingness_B,conformity_rate,silence_streak_mean,silence_streak_max,silence_streak_pct_ge_5,cascade_flag
1,0.2790697674418605,0.4,0.46,-0.06,0.49572240483466523,0.5036440733344745,0.49069188275497594,0.5076156281503755,0.10465116279069768,0.57,1,0.0,0
2,0.4146341463414634,0.33,0.49,-0.15999999999999998,0.4902954048391877,0.5085283267827159,0.4779423494087031,0.518802204184367,0.10975609756097561,0.93,2,0.0,1
3,0.13253012048192764,0.44,0.39,0.04999999999999999,0.4855113723084522,0.5126037367062122,0.46858690757394067,0.5262017317990044,0.0963855421686747,1.1,3,0.0,0
4,0.2987012987012987,0.33,0.44,-0.10999999999999999,0.48100838470223706,0.5167345992554394,0.4586494947532119,0.5349519939695255,0.07792207792207792,1.325,4,0.0,0
5,0.3012048192771084,0.35,0.48,-0.13,0.4764562379006479,0.5209380756756843,0.44863295100932815,0.5436252376577536,0.07228915662650602,1.38,5,0.07,1
6,0.10810810810810811,0.39,0.35,0.040000000000000036,0.4741103710795558,0.5228999552085032,0.44629843776228284,0.5456329765717594,0.08108108108108109,1.565,6,0.095,0
7,0.19999999999999996,0.34,0.41,-0.06999999999999995,0.47015027598724807,0.5267816809468977,0.4343730289513925,0.5560957949360484,0.05333333333333334,1.615,7,0.1,0
8,0.2272727272727273,0.42,0.46,-0.040000000000000036,0.46659912544339194,0.529874756567915,0.42786314201714887,0.5614392699415776,0.09090909090909091,1.525,8,0.09,0
9,0.20454545454545459,0.4,0.48,-0.07999999999999996,0.46389288650754607,0.5320577550695207,0.42273428979768474,0.565416903629411,0.056818181818181816,1.49,9,0.08,0
10,0.17241379310344834,0.43,0.44,-0.010000000000000009,0.4607326945512159,0.534833059809864,0.4151731332661693,0.5720981147824516,0.08045977011494253,1.46,10,0.09,0
11,0.2954545454545454,0.37,0.51,-0.14,0.4574026598219531,0.5377202746033575,0.4079787055132953,0.5780560400800518,0.06818181818181818,1.51,11,0.1,0
12,0.013698630136986356,0.33,0.4,-0.07,0.45614415725116186,0.5386453189489173,0.4075334138508883,0.5779926058296063,0.0684931506849315,1.67,12,0.095,0
13,0.08641975308641975,0.42,0.39,0.02999999999999997,0.4547773242087544,0.5400881699615447,0.40284309291657705,0.5817738752538328,0.06172839506172839,1.75,13,0.105,0
14,0.28,0.33,0.42,-0.08999999999999997,0.45263937915187563,0.5419360591261888,0.39777648005730754,0.5860748583301529,0.08,1.88,14,0.135,0
15,0.2530120481927711,0.35,0.48,-0.13,0.4468027192039125,0.5470111083824024,0.3819136921585006,0.6004937260823375,0.04819277108433735,1.87,15,0.13,0
16,0.4252873563218391,0.3,0.57,-0.26999999999999996,0.4406273912060961,0.5524144854501312,0.3694162522150679,0.6114333465136135,0.05747126436781609,1.74,16,0.125,1
17,0.09756097560975613,0.42,0.4,0.019999999999999962,0.4371338465055939,0.5552932422691564,0.3648938757869268,0.6150527844331992,0.06097560975609756,1.705,17,0.105,0
18,0.05128205128205132,0.38,0.4,-0.020000000000000018,0.43604782962387306,0.5559951849871568,0.3643458975614148,0.6151014328129897,0.038461538461538464,1.805,13,0.125,0
